setid,"Temperature, K",Weight fraction of butanoic acid,"Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
Zrizl,298,0,100,884.1,Martak and Schlosser (2017),Density,Liquid,ACskOY,CC(CC(C)(C)C)CP(=O)([O-])CC(C)CC(C)(C)C.CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC,"trihexyltetradecylphosphonium bis(2,4,4-trimethylpentyl)phosphinate",AAQxlj,CCCC(=O)O,butanoic acid,,,
Zrizl,298,0.0122,100,886.4,Martak and Schlosser (2017),Density,Liquid,ACskOY,CC(CC(C)(C)C)CP(=O)([O-])CC(C)CC(C)(C)C.CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC,"trihexyltetradecylphosphonium bis(2,4,4-trimethylpentyl)phosphinate",AAQxlj,CCCC(=O)O,butanoic acid,,,
Zrizl,298,0.0346,100,892.2,Martak and Schlosser (2017),Density,Liquid,ACskOY,CC(CC(C)(C)C)CP(=O)([O-])CC(C)CC(C)(C)C.CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC,"trihexyltetradecylphosphonium bis(2,4,4-trimethylpentyl)phosphinate",AAQxlj,CCCC(=O)O,butanoic acid,,,
Zrizl,298,0.0349,100,889.8,Martak and Schlosser (2017),Density,Liquid,ACskOY,CC(CC(C)(C)C)CP(=O)([O-])CC(C)CC(C)(C)C.CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC,"trihexyltetradecylphosphonium bis(2,4,4-trimethylpentyl)phosphinate",AAQxlj,CCCC(=O)O,butanoic acid,,,
Zrizl,298,0.0684,100,893.8,Martak and Schlosser (2017),Density,Liquid,ACskOY,CC(CC(C)(C)C)CP(=O)([O-])CC(C)CC(C)(C)C.CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC,"trihexyltetradecylphosphonium bis(2,4,4-trimethylpentyl)phosphinate",AAQxlj,CCCC(=O)O,butanoic acid,,,
Zrizl,298,0.14,100,899.8,Martak and Schlosser (2017),Density,Liquid,ACskOY,CC(CC(C)(C)C)CP(=O)([O-])CC(C)CC(C)(C)C.CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC,"trihexyltetradecylphosphonium bis(2,4,4-trimethylpentyl)phosphinate",AAQxlj,CCCC(=O)O,butanoic acid,,,
Zrizl,298,0.242,100,909.1,Martak and Schlosser (2017),Density,Liquid,ACskOY,CC(CC(C)(C)C)CP(=O)([O-])CC(C)CC(C)(C)C.CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC,"trihexyltetradecylphosphonium bis(2,4,4-trimethylpentyl)phosphinate",AAQxlj,CCCC(=O)O,butanoic acid,,,
Zrizl,298,0.301,100,914,Martak and Schlosser (2017),Density,Liquid,ACskOY,CC(CC(C)(C)C)CP(=O)([O-])CC(C)CC(C)(C)C.CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC,"trihexyltetradecylphosphonium bis(2,4,4-trimethylpentyl)phosphinate",AAQxlj,CCCC(=O)O,butanoic acid,,,
Zrizl,298,0.375,100,919.8,Martak and Schlosser (2017),Density,Liquid,ACskOY,CC(CC(C)(C)C)CP(=O)([O-])CC(C)CC(C)(C)C.CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC,"trihexyltetradecylphosphonium bis(2,4,4-trimethylpentyl)phosphinate",AAQxlj,CCCC(=O)O,butanoic acid,,,
Zrizl,298,0.44,100,924.1,Martak and Schlosser (2017),Density,Liquid,ACskOY,CC(CC(C)(C)C)CP(=O)([O-])CC(C)CC(C)(C)C.CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC,"trihexyltetradecylphosphonium bis(2,4,4-trimethylpentyl)phosphinate",AAQxlj,CCCC(=O)O,butanoic acid,,,
Zrizl,298,0.491,100,927.3,Martak and Schlosser (2017),Density,Liquid,ACskOY,CC(CC(C)(C)C)CP(=O)([O-])CC(C)CC(C)(C)C.CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC,"trihexyltetradecylphosphonium bis(2,4,4-trimethylpentyl)phosphinate",AAQxlj,CCCC(=O)O,butanoic acid,,,
Zrizl,298,0.715,100,939.2,Martak and Schlosser (2017),Density,Liquid,ACskOY,CC(CC(C)(C)C)CP(=O)([O-])CC(C)CC(C)(C)C.CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC,"trihexyltetradecylphosphonium bis(2,4,4-trimethylpentyl)phosphinate",AAQxlj,CCCC(=O)O,butanoic acid,,,
Zrizl,298,0.991,100,953.5,Martak and Schlosser (2017),Density,Liquid,ACskOY,CC(CC(C)(C)C)CP(=O)([O-])CC(C)CC(C)(C)C.CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC,"trihexyltetradecylphosphonium bis(2,4,4-trimethylpentyl)phosphinate",AAQxlj,CCCC(=O)O,butanoic acid,,,
Zrizl,310,0,100,876.9,Martak and Schlosser (2017),Density,Liquid,ACskOY,CC(CC(C)(C)C)CP(=O)([O-])CC(C)CC(C)(C)C.CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC,"trihexyltetradecylphosphonium bis(2,4,4-trimethylpentyl)phosphinate",AAQxlj,CCCC(=O)O,butanoic acid,,,
Zrizl,310,0.0122,100,879.3,Martak and Schlosser (2017),Density,Liquid,ACskOY,CC(CC(C)(C)C)CP(=O)([O-])CC(C)CC(C)(C)C.CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC,"trihexyltetradecylphosphonium bis(2,4,4-trimethylpentyl)phosphinate",AAQxlj,CCCC(=O)O,butanoic acid,,,
Zrizl,310,0.0346,100,884.7,Martak and Schlosser (2017),Density,Liquid,ACskOY,CC(CC(C)(C)C)CP(=O)([O-])CC(C)CC(C)(C)C.CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC,"trihexyltetradecylphosphonium bis(2,4,4-trimethylpentyl)phosphinate",AAQxlj,CCCC(=O)O,butanoic acid,,,
Zrizl,310,0.0349,100,882.5,Martak and Schlosser (2017),Density,Liquid,ACskOY,CC(CC(C)(C)C)CP(=O)([O-])CC(C)CC(C)(C)C.CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC,"trihexyltetradecylphosphonium bis(2,4,4-trimethylpentyl)phosphinate",AAQxlj,CCCC(=O)O,butanoic acid,,,
Zrizl,310,0.0684,100,886.4,Martak and Schlosser (2017),Density,Liquid,ACskOY,CC(CC(C)(C)C)CP(=O)([O-])CC(C)CC(C)(C)C.CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC,"trihexyltetradecylphosphonium bis(2,4,4-trimethylpentyl)phosphinate",AAQxlj,CCCC(=O)O,butanoic acid,,,
Zrizl,310,0.14,100,892.3,Martak and Schlosser (2017),Density,Liquid,ACskOY,CC(CC(C)(C)C)CP(=O)([O-])CC(C)CC(C)(C)C.CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC,"trihexyltetradecylphosphonium bis(2,4,4-trimethylpentyl)phosphinate",AAQxlj,CCCC(=O)O,butanoic acid,,,
Zrizl,310,0.242,100,901.5,Martak and Schlosser (2017),Density,Liquid,ACskOY,CC(CC(C)(C)C)CP(=O)([O-])CC(C)CC(C)(C)C.CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC,"trihexyltetradecylphosphonium bis(2,4,4-trimethylpentyl)phosphinate",AAQxlj,CCCC(=O)O,butanoic acid,,,
Zrizl,310,0.301,100,906.2,Martak and Schlosser (2017),Density,Liquid,ACskOY,CC(CC(C)(C)C)CP(=O)([O-])CC(C)CC(C)(C)C.CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC,"trihexyltetradecylphosphonium bis(2,4,4-trimethylpentyl)phosphinate",AAQxlj,CCCC(=O)O,butanoic acid,,,
Zrizl,310,0.375,100,911.6,Martak and Schlosser (2017),Density,Liquid,ACskOY,CC(CC(C)(C)C)CP(=O)([O-])CC(C)CC(C)(C)C.CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC,"trihexyltetradecylphosphonium bis(2,4,4-trimethylpentyl)phosphinate",AAQxlj,CCCC(=O)O,butanoic acid,,,
Zrizl,310,0.44,100,915.6,Martak and Schlosser (2017),Density,Liquid,ACskOY,CC(CC(C)(C)C)CP(=O)([O-])CC(C)CC(C)(C)C.CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC,"trihexyltetradecylphosphonium bis(2,4,4-trimethylpentyl)phosphinate",AAQxlj,CCCC(=O)O,butanoic acid,,,
Zrizl,310,0.491,100,918.5,Martak and Schlosser (2017),Density,Liquid,ACskOY,CC(CC(C)(C)C)CP(=O)([O-])CC(C)CC(C)(C)C.CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC,"trihexyltetradecylphosphonium bis(2,4,4-trimethylpentyl)phosphinate",AAQxlj,CCCC(=O)O,butanoic acid,,,
Zrizl,310,0.715,100,929.3,Martak and Schlosser (2017),Density,Liquid,ACskOY,CC(CC(C)(C)C)CP(=O)([O-])CC(C)CC(C)(C)C.CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC,"trihexyltetradecylphosphonium bis(2,4,4-trimethylpentyl)phosphinate",AAQxlj,CCCC(=O)O,butanoic acid,,,
Zrizl,310,0.991,100,941.6,Martak and Schlosser (2017),Density,Liquid,ACskOY,CC(CC(C)(C)C)CP(=O)([O-])CC(C)CC(C)(C)C.CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC,"trihexyltetradecylphosphonium bis(2,4,4-trimethylpentyl)phosphinate",AAQxlj,CCCC(=O)O,butanoic acid,,,
Zrizl,318,0,100,872.2,Martak and Schlosser (2017),Density,Liquid,ACskOY,CC(CC(C)(C)C)CP(=O)([O-])CC(C)CC(C)(C)C.CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC,"trihexyltetradecylphosphonium bis(2,4,4-trimethylpentyl)phosphinate",AAQxlj,CCCC(=O)O,butanoic acid,,,
Zrizl,318,0.0122,100,874.5,Martak and Schlosser (2017),Density,Liquid,ACskOY,CC(CC(C)(C)C)CP(=O)([O-])CC(C)CC(C)(C)C.CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC,"trihexyltetradecylphosphonium bis(2,4,4-trimethylpentyl)phosphinate",AAQxlj,CCCC(=O)O,butanoic acid,,,
Zrizl,318,0.0346,100,879.8,Martak and Schlosser (2017),Density,Liquid,ACskOY,CC(CC(C)(C)C)CP(=O)([O-])CC(C)CC(C)(C)C.CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC,"trihexyltetradecylphosphonium bis(2,4,4-trimethylpentyl)phosphinate",AAQxlj,CCCC(=O)O,butanoic acid,,,
Zrizl,318,0.0349,100,877.6,Martak and Schlosser (2017),Density,Liquid,ACskOY,CC(CC(C)(C)C)CP(=O)([O-])CC(C)CC(C)(C)C.CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC,"trihexyltetradecylphosphonium bis(2,4,4-trimethylpentyl)phosphinate",AAQxlj,CCCC(=O)O,butanoic acid,,,
Zrizl,318,0.0684,100,881.5,Martak and Schlosser (2017),Density,Liquid,ACskOY,CC(CC(C)(C)C)CP(=O)([O-])CC(C)CC(C)(C)C.CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC,"trihexyltetradecylphosphonium bis(2,4,4-trimethylpentyl)phosphinate",AAQxlj,CCCC(=O)O,butanoic acid,,,
Zrizl,318,0.14,100,887.5,Martak and Schlosser (2017),Density,Liquid,ACskOY,CC(CC(C)(C)C)CP(=O)([O-])CC(C)CC(C)(C)C.CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC,"trihexyltetradecylphosphonium bis(2,4,4-trimethylpentyl)phosphinate",AAQxlj,CCCC(=O)O,butanoic acid,,,
Zrizl,318,0.242,100,896.4,Martak and Schlosser (2017),Density,Liquid,ACskOY,CC(CC(C)(C)C)CP(=O)([O-])CC(C)CC(C)(C)C.CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC,"trihexyltetradecylphosphonium bis(2,4,4-trimethylpentyl)phosphinate",AAQxlj,CCCC(=O)O,butanoic acid,,,
Zrizl,318,0.301,100,901,Martak and Schlosser (2017),Density,Liquid,ACskOY,CC(CC(C)(C)C)CP(=O)([O-])CC(C)CC(C)(C)C.CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC,"trihexyltetradecylphosphonium bis(2,4,4-trimethylpentyl)phosphinate",AAQxlj,CCCC(=O)O,butanoic acid,,,
Zrizl,318,0.375,100,906.2,Martak and Schlosser (2017),Density,Liquid,ACskOY,CC(CC(C)(C)C)CP(=O)([O-])CC(C)CC(C)(C)C.CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC,"trihexyltetradecylphosphonium bis(2,4,4-trimethylpentyl)phosphinate",AAQxlj,CCCC(=O)O,butanoic acid,,,
Zrizl,318,0.44,100,910,Martak and Schlosser (2017),Density,Liquid,ACskOY,CC(CC(C)(C)C)CP(=O)([O-])CC(C)CC(C)(C)C.CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC,"trihexyltetradecylphosphonium bis(2,4,4-trimethylpentyl)phosphinate",AAQxlj,CCCC(=O)O,butanoic acid,,,
Zrizl,318,0.491,100,912.7,Martak and Schlosser (2017),Density,Liquid,ACskOY,CC(CC(C)(C)C)CP(=O)([O-])CC(C)CC(C)(C)C.CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC,"trihexyltetradecylphosphonium bis(2,4,4-trimethylpentyl)phosphinate",AAQxlj,CCCC(=O)O,butanoic acid,,,
Zrizl,318,0.715,100,922.6,Martak and Schlosser (2017),Density,Liquid,ACskOY,CC(CC(C)(C)C)CP(=O)([O-])CC(C)CC(C)(C)C.CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC,"trihexyltetradecylphosphonium bis(2,4,4-trimethylpentyl)phosphinate",AAQxlj,CCCC(=O)O,butanoic acid,,,
Zrizl,318,0.991,100,933.8,Martak and Schlosser (2017),Density,Liquid,ACskOY,CC(CC(C)(C)C)CP(=O)([O-])CC(C)CC(C)(C)C.CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC,"trihexyltetradecylphosphonium bis(2,4,4-trimethylpentyl)phosphinate",AAQxlj,CCCC(=O)O,butanoic acid,,,
