setid,"Temperature, K",Weight fraction of 1-butyl-3-methylimidazolium chloride,Weight fraction of cesium chloride,"Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
oZSAD,288.15,0.0413,0.5889,101,1796.6,Tang et al. (2014a),Density,Liquid,AAgTSO,[Cl-].[Cs+],cesium chloride,AADYJk,O,water,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride
oZSAD,288.15,0.0993,0.5127,101,1682.3,Tang et al. (2014a),Density,Liquid,AAgTSO,[Cl-].[Cs+],cesium chloride,AADYJk,O,water,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride
oZSAD,288.15,0.1711,0.4302,101,1561.7,Tang et al. (2014a),Density,Liquid,AAgTSO,[Cl-].[Cs+],cesium chloride,AADYJk,O,water,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride
oZSAD,288.15,0.2658,0.3351,101,1432.6,Tang et al. (2014a),Density,Liquid,AAgTSO,[Cl-].[Cs+],cesium chloride,AADYJk,O,water,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride
oZSAD,288.15,0.3902,0.2321,101,1306.6,Tang et al. (2014a),Density,Liquid,AAgTSO,[Cl-].[Cs+],cesium chloride,AADYJk,O,water,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride
oZSAD,288.15,0.5564,0.1184,101,1195.2,Tang et al. (2014a),Density,Liquid,AAgTSO,[Cl-].[Cs+],cesium chloride,AADYJk,O,water,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride
oZSAD,288.15,0.689,0.0369,101,1118.87,Tang et al. (2014a),Density,Liquid,AAgTSO,[Cl-].[Cs+],cesium chloride,AADYJk,O,water,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride
oZSAD,288.15,0.7999,0.0077,101,1090.1,Tang et al. (2014a),Density,Liquid,AAgTSO,[Cl-].[Cs+],cesium chloride,AADYJk,O,water,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride
oZSAD,298.15,0.0104,0.03,101,1021.3,Tang et al. (2014a),Density,Liquid,AAgTSO,[Cl-].[Cs+],cesium chloride,AADYJk,O,water,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride
oZSAD,298.15,0.0104,0.06,101,1045.7,Tang et al. (2014a),Density,Liquid,AAgTSO,[Cl-].[Cs+],cesium chloride,AADYJk,O,water,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride
oZSAD,298.15,0.0105,0,101,997.8,Tang et al. (2014a),Density,Liquid,AAgTSO,[Cl-].[Cs+],cesium chloride,AADYJk,O,water,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride
oZSAD,298.15,0.0209,0,101,998.6,Tang et al. (2014a),Density,Liquid,AAgTSO,[Cl-].[Cs+],cesium chloride,AADYJk,O,water,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride
oZSAD,298.15,0.0209,0.03,101,1022.1,Tang et al. (2014a),Density,Liquid,AAgTSO,[Cl-].[Cs+],cesium chloride,AADYJk,O,water,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride
oZSAD,298.15,0.0209,0.06,101,1046.5,Tang et al. (2014a),Density,Liquid,AAgTSO,[Cl-].[Cs+],cesium chloride,AADYJk,O,water,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride
oZSAD,298.15,0.0313,0.03,101,1022.8,Tang et al. (2014a),Density,Liquid,AAgTSO,[Cl-].[Cs+],cesium chloride,AADYJk,O,water,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride
oZSAD,298.15,0.0313,0.06,101,1047.4,Tang et al. (2014a),Density,Liquid,AAgTSO,[Cl-].[Cs+],cesium chloride,AADYJk,O,water,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride
oZSAD,298.15,0.0314,0,101,999.4,Tang et al. (2014a),Density,Liquid,AAgTSO,[Cl-].[Cs+],cesium chloride,AADYJk,O,water,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride
oZSAD,298.15,0.041,0.5987,101,1819.1,Tang et al. (2014a),Density,Liquid,AAgTSO,[Cl-].[Cs+],cesium chloride,AADYJk,O,water,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride
oZSAD,298.15,0.0418,0.03,101,1023.8,Tang et al. (2014a),Density,Liquid,AAgTSO,[Cl-].[Cs+],cesium chloride,AADYJk,O,water,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride
oZSAD,298.15,0.0419,0,101,1000.2,Tang et al. (2014a),Density,Liquid,AAgTSO,[Cl-].[Cs+],cesium chloride,AADYJk,O,water,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride
oZSAD,298.15,0.042,0.06,101,1048.3,Tang et al. (2014a),Density,Liquid,AAgTSO,[Cl-].[Cs+],cesium chloride,AADYJk,O,water,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride
oZSAD,298.15,0.0512,0.06,101,1049.2,Tang et al. (2014a),Density,Liquid,AAgTSO,[Cl-].[Cs+],cesium chloride,AADYJk,O,water,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride
oZSAD,298.15,0.0522,0.03,101,1024.6,Tang et al. (2014a),Density,Liquid,AAgTSO,[Cl-].[Cs+],cesium chloride,AADYJk,O,water,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride
oZSAD,298.15,0.0523,0,101,1001,Tang et al. (2014a),Density,Liquid,AAgTSO,[Cl-].[Cs+],cesium chloride,AADYJk,O,water,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride
oZSAD,298.15,0.0627,0,101,1001.8,Tang et al. (2014a),Density,Liquid,AAgTSO,[Cl-].[Cs+],cesium chloride,AADYJk,O,water,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride
oZSAD,298.15,0.0627,0.03,101,1025.4,Tang et al. (2014a),Density,Liquid,AAgTSO,[Cl-].[Cs+],cesium chloride,AADYJk,O,water,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride
oZSAD,298.15,0.0627,0.06,101,1050.1,Tang et al. (2014a),Density,Liquid,AAgTSO,[Cl-].[Cs+],cesium chloride,AADYJk,O,water,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride
oZSAD,298.15,0.0731,0.06,101,1050.99,Tang et al. (2014a),Density,Liquid,AAgTSO,[Cl-].[Cs+],cesium chloride,AADYJk,O,water,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride
oZSAD,298.15,0.0732,0,101,1002.7,Tang et al. (2014a),Density,Liquid,AAgTSO,[Cl-].[Cs+],cesium chloride,AADYJk,O,water,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride
oZSAD,298.15,0.0732,0.03,101,1026.3,Tang et al. (2014a),Density,Liquid,AAgTSO,[Cl-].[Cs+],cesium chloride,AADYJk,O,water,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride
oZSAD,298.15,0.083,0.06,101,1051.84,Tang et al. (2014a),Density,Liquid,AAgTSO,[Cl-].[Cs+],cesium chloride,AADYJk,O,water,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride
oZSAD,298.15,0.0836,0,101,1003.5,Tang et al. (2014a),Density,Liquid,AAgTSO,[Cl-].[Cs+],cesium chloride,AADYJk,O,water,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride
oZSAD,298.15,0.0837,0.03,101,1026.8,Tang et al. (2014a),Density,Liquid,AAgTSO,[Cl-].[Cs+],cesium chloride,AADYJk,O,water,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride
oZSAD,298.15,0.0941,0,101,1004.4,Tang et al. (2014a),Density,Liquid,AAgTSO,[Cl-].[Cs+],cesium chloride,AADYJk,O,water,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride
oZSAD,298.15,0.0941,0.06,101,1052.78,Tang et al. (2014a),Density,Liquid,AAgTSO,[Cl-].[Cs+],cesium chloride,AADYJk,O,water,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride
oZSAD,298.15,0.0942,0.03,101,1027.8,Tang et al. (2014a),Density,Liquid,AAgTSO,[Cl-].[Cs+],cesium chloride,AADYJk,O,water,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride
oZSAD,298.15,0.0963,0.5196,101,1699.7,Tang et al. (2014a),Density,Liquid,AAgTSO,[Cl-].[Cs+],cesium chloride,AADYJk,O,water,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride
oZSAD,298.15,0.1045,0,101,1005.3,Tang et al. (2014a),Density,Liquid,AAgTSO,[Cl-].[Cs+],cesium chloride,AADYJk,O,water,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride
oZSAD,298.15,0.1045,0.03,101,1028.95,Tang et al. (2014a),Density,Liquid,AAgTSO,[Cl-].[Cs+],cesium chloride,AADYJk,O,water,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride
oZSAD,298.15,0.1045,0.06,101,1053.67,Tang et al. (2014a),Density,Liquid,AAgTSO,[Cl-].[Cs+],cesium chloride,AADYJk,O,water,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride
oZSAD,298.15,0.1654,0.4386,101,1580.2,Tang et al. (2014a),Density,Liquid,AAgTSO,[Cl-].[Cs+],cesium chloride,AADYJk,O,water,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride
oZSAD,298.15,0.262,0.3446,101,1451.5,Tang et al. (2014a),Density,Liquid,AAgTSO,[Cl-].[Cs+],cesium chloride,AADYJk,O,water,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride
oZSAD,298.15,0.3815,0.2475,101,1323.1,Tang et al. (2014a),Density,Liquid,AAgTSO,[Cl-].[Cs+],cesium chloride,AADYJk,O,water,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride
oZSAD,298.15,0.5249,0.1361,101,1205.6,Tang et al. (2014a),Density,Liquid,AAgTSO,[Cl-].[Cs+],cesium chloride,AADYJk,O,water,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride
oZSAD,298.15,0.6717,0.0434,101,1121,Tang et al. (2014a),Density,Liquid,AAgTSO,[Cl-].[Cs+],cesium chloride,AADYJk,O,water,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride
oZSAD,298.15,0.799,0.0078,101,1088,Tang et al. (2014a),Density,Liquid,AAgTSO,[Cl-].[Cs+],cesium chloride,AADYJk,O,water,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride
oZSAD,308.15,0.0382,0.606,101,1837.8,Tang et al. (2014a),Density,Liquid,AAgTSO,[Cl-].[Cs+],cesium chloride,AADYJk,O,water,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride
oZSAD,308.15,0.0929,0.5386,101,1717.1,Tang et al. (2014a),Density,Liquid,AAgTSO,[Cl-].[Cs+],cesium chloride,AADYJk,O,water,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride
oZSAD,308.15,0.1644,0.4583,101,1597.7,Tang et al. (2014a),Density,Liquid,AAgTSO,[Cl-].[Cs+],cesium chloride,AADYJk,O,water,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride
oZSAD,308.15,0.2573,0.3612,101,1466.8,Tang et al. (2014a),Density,Liquid,AAgTSO,[Cl-].[Cs+],cesium chloride,AADYJk,O,water,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride
oZSAD,308.15,0.3769,0.2581,101,1338.6,Tang et al. (2014a),Density,Liquid,AAgTSO,[Cl-].[Cs+],cesium chloride,AADYJk,O,water,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride
oZSAD,308.15,0.5182,0.1494,101,1216.1,Tang et al. (2014a),Density,Liquid,AAgTSO,[Cl-].[Cs+],cesium chloride,AADYJk,O,water,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride
oZSAD,308.15,0.6711,0.0527,101,1123.23,Tang et al. (2014a),Density,Liquid,AAgTSO,[Cl-].[Cs+],cesium chloride,AADYJk,O,water,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride
oZSAD,308.15,0.7994,0.0081,101,1069,Tang et al. (2014a),Density,Liquid,AAgTSO,[Cl-].[Cs+],cesium chloride,AADYJk,O,water,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride
