setid,"Temperature, K","MolaLity of 1-butyl-1-methylpyrrolidinium dicyanamide, mol/kg","Pressure, kPa","Specific density<SUP>*</SUP>, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
qLQSp,288.15,0.01538,100,0.117,Havlov and Dohnal (2018),Density,Liquid,AADYJk,O,water,AAoDPb,CCCC[N+]1(C)CCCC1.N#C[N-]C#N,1-butyl-1-methylpyrrolidinium dicyanamide,,,
qLQSp,288.15,0.03088,100,0.234,Havlov and Dohnal (2018),Density,Liquid,AADYJk,O,water,AAoDPb,CCCC[N+]1(C)CCCC1.N#C[N-]C#N,1-butyl-1-methylpyrrolidinium dicyanamide,,,
qLQSp,288.15,0.04839,100,0.36,Havlov and Dohnal (2018),Density,Liquid,AADYJk,O,water,AAoDPb,CCCC[N+]1(C)CCCC1.N#C[N-]C#N,1-butyl-1-methylpyrrolidinium dicyanamide,,,
qLQSp,288.15,0.0703,100,0.514,Havlov and Dohnal (2018),Density,Liquid,AADYJk,O,water,AAoDPb,CCCC[N+]1(C)CCCC1.N#C[N-]C#N,1-butyl-1-methylpyrrolidinium dicyanamide,,,
qLQSp,288.15,0.08129,100,0.589,Havlov and Dohnal (2018),Density,Liquid,AADYJk,O,water,AAoDPb,CCCC[N+]1(C)CCCC1.N#C[N-]C#N,1-butyl-1-methylpyrrolidinium dicyanamide,,,
qLQSp,288.15,0.09073,100,0.647,Havlov and Dohnal (2018),Density,Liquid,AADYJk,O,water,AAoDPb,CCCC[N+]1(C)CCCC1.N#C[N-]C#N,1-butyl-1-methylpyrrolidinium dicyanamide,,,
qLQSp,288.15,0.1016,100,0.725,Havlov and Dohnal (2018),Density,Liquid,AADYJk,O,water,AAoDPb,CCCC[N+]1(C)CCCC1.N#C[N-]C#N,1-butyl-1-methylpyrrolidinium dicyanamide,,,
qLQSp,293.15,0.01007,100,0.068,Havlov and Dohnal (2018),Density,Liquid,AADYJk,O,water,AAoDPb,CCCC[N+]1(C)CCCC1.N#C[N-]C#N,1-butyl-1-methylpyrrolidinium dicyanamide,,,
qLQSp,293.15,0.01538,100,0.103,Havlov and Dohnal (2018),Density,Liquid,AADYJk,O,water,AAoDPb,CCCC[N+]1(C)CCCC1.N#C[N-]C#N,1-butyl-1-methylpyrrolidinium dicyanamide,,,
qLQSp,293.15,0.03088,100,0.202,Havlov and Dohnal (2018),Density,Liquid,AADYJk,O,water,AAoDPb,CCCC[N+]1(C)CCCC1.N#C[N-]C#N,1-butyl-1-methylpyrrolidinium dicyanamide,,,
qLQSp,293.15,0.04839,100,0.308,Havlov and Dohnal (2018),Density,Liquid,AADYJk,O,water,AAoDPb,CCCC[N+]1(C)CCCC1.N#C[N-]C#N,1-butyl-1-methylpyrrolidinium dicyanamide,,,
qLQSp,293.15,0.0703,100,0.436,Havlov and Dohnal (2018),Density,Liquid,AADYJk,O,water,AAoDPb,CCCC[N+]1(C)CCCC1.N#C[N-]C#N,1-butyl-1-methylpyrrolidinium dicyanamide,,,
qLQSp,293.15,0.09073,100,0.546,Havlov and Dohnal (2018),Density,Liquid,AADYJk,O,water,AAoDPb,CCCC[N+]1(C)CCCC1.N#C[N-]C#N,1-butyl-1-methylpyrrolidinium dicyanamide,,,
qLQSp,298.15,0.01007,100,0.056,Havlov and Dohnal (2018),Density,Liquid,AADYJk,O,water,AAoDPb,CCCC[N+]1(C)CCCC1.N#C[N-]C#N,1-butyl-1-methylpyrrolidinium dicyanamide,,,
qLQSp,298.15,0.01538,100,0.085,Havlov and Dohnal (2018),Density,Liquid,AADYJk,O,water,AAoDPb,CCCC[N+]1(C)CCCC1.N#C[N-]C#N,1-butyl-1-methylpyrrolidinium dicyanamide,,,
qLQSp,298.15,0.02033,100,0.114,Havlov and Dohnal (2018),Density,Liquid,AADYJk,O,water,AAoDPb,CCCC[N+]1(C)CCCC1.N#C[N-]C#N,1-butyl-1-methylpyrrolidinium dicyanamide,,,
qLQSp,298.15,0.03088,100,0.168,Havlov and Dohnal (2018),Density,Liquid,AADYJk,O,water,AAoDPb,CCCC[N+]1(C)CCCC1.N#C[N-]C#N,1-butyl-1-methylpyrrolidinium dicyanamide,,,
qLQSp,298.15,0.04067,100,0.219,Havlov and Dohnal (2018),Density,Liquid,AADYJk,O,water,AAoDPb,CCCC[N+]1(C)CCCC1.N#C[N-]C#N,1-butyl-1-methylpyrrolidinium dicyanamide,,,
qLQSp,298.15,0.04839,100,0.256,Havlov and Dohnal (2018),Density,Liquid,AADYJk,O,water,AAoDPb,CCCC[N+]1(C)CCCC1.N#C[N-]C#N,1-butyl-1-methylpyrrolidinium dicyanamide,,,
qLQSp,298.15,0.061,100,0.317,Havlov and Dohnal (2018),Density,Liquid,AADYJk,O,water,AAoDPb,CCCC[N+]1(C)CCCC1.N#C[N-]C#N,1-butyl-1-methylpyrrolidinium dicyanamide,,,
qLQSp,298.15,0.0703,100,0.36,Havlov and Dohnal (2018),Density,Liquid,AADYJk,O,water,AAoDPb,CCCC[N+]1(C)CCCC1.N#C[N-]C#N,1-butyl-1-methylpyrrolidinium dicyanamide,,,
qLQSp,298.15,0.08133,100,0.411,Havlov and Dohnal (2018),Density,Liquid,AADYJk,O,water,AAoDPb,CCCC[N+]1(C)CCCC1.N#C[N-]C#N,1-butyl-1-methylpyrrolidinium dicyanamide,,,
qLQSp,298.15,0.09073,100,0.45,Havlov and Dohnal (2018),Density,Liquid,AADYJk,O,water,AAoDPb,CCCC[N+]1(C)CCCC1.N#C[N-]C#N,1-butyl-1-methylpyrrolidinium dicyanamide,,,
qLQSp,298.15,0.1017,100,0.5,Havlov and Dohnal (2018),Density,Liquid,AADYJk,O,water,AAoDPb,CCCC[N+]1(C)CCCC1.N#C[N-]C#N,1-butyl-1-methylpyrrolidinium dicyanamide,,,
qLQSp,298.15,0.122,100,0.587,Havlov and Dohnal (2018),Density,Liquid,AADYJk,O,water,AAoDPb,CCCC[N+]1(C)CCCC1.N#C[N-]C#N,1-butyl-1-methylpyrrolidinium dicyanamide,,,
qLQSp,303.15,0.01007,100,0.046,Havlov and Dohnal (2018),Density,Liquid,AADYJk,O,water,AAoDPb,CCCC[N+]1(C)CCCC1.N#C[N-]C#N,1-butyl-1-methylpyrrolidinium dicyanamide,,,
qLQSp,303.15,0.01538,100,0.071,Havlov and Dohnal (2018),Density,Liquid,AADYJk,O,water,AAoDPb,CCCC[N+]1(C)CCCC1.N#C[N-]C#N,1-butyl-1-methylpyrrolidinium dicyanamide,,,
qLQSp,303.15,0.03088,100,0.137,Havlov and Dohnal (2018),Density,Liquid,AADYJk,O,water,AAoDPb,CCCC[N+]1(C)CCCC1.N#C[N-]C#N,1-butyl-1-methylpyrrolidinium dicyanamide,,,
qLQSp,303.15,0.04839,100,0.209,Havlov and Dohnal (2018),Density,Liquid,AADYJk,O,water,AAoDPb,CCCC[N+]1(C)CCCC1.N#C[N-]C#N,1-butyl-1-methylpyrrolidinium dicyanamide,,,
qLQSp,303.15,0.0703,100,0.293,Havlov and Dohnal (2018),Density,Liquid,AADYJk,O,water,AAoDPb,CCCC[N+]1(C)CCCC1.N#C[N-]C#N,1-butyl-1-methylpyrrolidinium dicyanamide,,,
qLQSp,303.15,0.09073,100,0.366,Havlov and Dohnal (2018),Density,Liquid,AADYJk,O,water,AAoDPb,CCCC[N+]1(C)CCCC1.N#C[N-]C#N,1-butyl-1-methylpyrrolidinium dicyanamide,,,
qLQSp,308.15,0.01007,100,0.039,Havlov and Dohnal (2018),Density,Liquid,AADYJk,O,water,AAoDPb,CCCC[N+]1(C)CCCC1.N#C[N-]C#N,1-butyl-1-methylpyrrolidinium dicyanamide,,,
qLQSp,308.15,0.01538,100,0.06,Havlov and Dohnal (2018),Density,Liquid,AADYJk,O,water,AAoDPb,CCCC[N+]1(C)CCCC1.N#C[N-]C#N,1-butyl-1-methylpyrrolidinium dicyanamide,,,
qLQSp,308.15,0.02032,100,0.075,Havlov and Dohnal (2018),Density,Liquid,AADYJk,O,water,AAoDPb,CCCC[N+]1(C)CCCC1.N#C[N-]C#N,1-butyl-1-methylpyrrolidinium dicyanamide,,,
qLQSp,308.15,0.03088,100,0.111,Havlov and Dohnal (2018),Density,Liquid,AADYJk,O,water,AAoDPb,CCCC[N+]1(C)CCCC1.N#C[N-]C#N,1-butyl-1-methylpyrrolidinium dicyanamide,,,
qLQSp,308.15,0.04063,100,0.143,Havlov and Dohnal (2018),Density,Liquid,AADYJk,O,water,AAoDPb,CCCC[N+]1(C)CCCC1.N#C[N-]C#N,1-butyl-1-methylpyrrolidinium dicyanamide,,,
qLQSp,308.15,0.04839,100,0.167,Havlov and Dohnal (2018),Density,Liquid,AADYJk,O,water,AAoDPb,CCCC[N+]1(C)CCCC1.N#C[N-]C#N,1-butyl-1-methylpyrrolidinium dicyanamide,,,
qLQSp,308.15,0.06095,100,0.204,Havlov and Dohnal (2018),Density,Liquid,AADYJk,O,water,AAoDPb,CCCC[N+]1(C)CCCC1.N#C[N-]C#N,1-butyl-1-methylpyrrolidinium dicyanamide,,,
qLQSp,308.15,0.0703,100,0.234,Havlov and Dohnal (2018),Density,Liquid,AADYJk,O,water,AAoDPb,CCCC[N+]1(C)CCCC1.N#C[N-]C#N,1-butyl-1-methylpyrrolidinium dicyanamide,,,
qLQSp,308.15,0.08127,100,0.262,Havlov and Dohnal (2018),Density,Liquid,AADYJk,O,water,AAoDPb,CCCC[N+]1(C)CCCC1.N#C[N-]C#N,1-butyl-1-methylpyrrolidinium dicyanamide,,,
qLQSp,308.15,0.09073,100,0.289,Havlov and Dohnal (2018),Density,Liquid,AADYJk,O,water,AAoDPb,CCCC[N+]1(C)CCCC1.N#C[N-]C#N,1-butyl-1-methylpyrrolidinium dicyanamide,,,
qLQSp,308.15,0.1016,100,0.317,Havlov and Dohnal (2018),Density,Liquid,AADYJk,O,water,AAoDPb,CCCC[N+]1(C)CCCC1.N#C[N-]C#N,1-butyl-1-methylpyrrolidinium dicyanamide,,,
qLQSp,308.15,0.1219,100,0.367,Havlov and Dohnal (2018),Density,Liquid,AADYJk,O,water,AAoDPb,CCCC[N+]1(C)CCCC1.N#C[N-]C#N,1-butyl-1-methylpyrrolidinium dicyanamide,,,
qLQSp,313.15,0.01007,100,0.03,Havlov and Dohnal (2018),Density,Liquid,AADYJk,O,water,AAoDPb,CCCC[N+]1(C)CCCC1.N#C[N-]C#N,1-butyl-1-methylpyrrolidinium dicyanamide,,,
qLQSp,313.15,0.01538,100,0.046,Havlov and Dohnal (2018),Density,Liquid,AADYJk,O,water,AAoDPb,CCCC[N+]1(C)CCCC1.N#C[N-]C#N,1-butyl-1-methylpyrrolidinium dicyanamide,,,
qLQSp,313.15,0.03088,100,0.086,Havlov and Dohnal (2018),Density,Liquid,AADYJk,O,water,AAoDPb,CCCC[N+]1(C)CCCC1.N#C[N-]C#N,1-butyl-1-methylpyrrolidinium dicyanamide,,,
qLQSp,313.15,0.04839,100,0.128,Havlov and Dohnal (2018),Density,Liquid,AADYJk,O,water,AAoDPb,CCCC[N+]1(C)CCCC1.N#C[N-]C#N,1-butyl-1-methylpyrrolidinium dicyanamide,,,
qLQSp,313.15,0.0703,100,0.177,Havlov and Dohnal (2018),Density,Liquid,AADYJk,O,water,AAoDPb,CCCC[N+]1(C)CCCC1.N#C[N-]C#N,1-butyl-1-methylpyrrolidinium dicyanamide,,,
qLQSp,313.15,0.09073,100,0.216,Havlov and Dohnal (2018),Density,Liquid,AADYJk,O,water,AAoDPb,CCCC[N+]1(C)CCCC1.N#C[N-]C#N,1-butyl-1-methylpyrrolidinium dicyanamide,,,
qLQSp,318.15,0.01538,100,0.035,Havlov and Dohnal (2018),Density,Liquid,AADYJk,O,water,AAoDPb,CCCC[N+]1(C)CCCC1.N#C[N-]C#N,1-butyl-1-methylpyrrolidinium dicyanamide,,,
qLQSp,318.15,0.02031,100,0.046,Havlov and Dohnal (2018),Density,Liquid,AADYJk,O,water,AAoDPb,CCCC[N+]1(C)CCCC1.N#C[N-]C#N,1-butyl-1-methylpyrrolidinium dicyanamide,,,
qLQSp,318.15,0.03088,100,0.065,Havlov and Dohnal (2018),Density,Liquid,AADYJk,O,water,AAoDPb,CCCC[N+]1(C)CCCC1.N#C[N-]C#N,1-butyl-1-methylpyrrolidinium dicyanamide,,,
qLQSp,318.15,0.04062,100,0.083,Havlov and Dohnal (2018),Density,Liquid,AADYJk,O,water,AAoDPb,CCCC[N+]1(C)CCCC1.N#C[N-]C#N,1-butyl-1-methylpyrrolidinium dicyanamide,,,
qLQSp,318.15,0.04839,100,0.094,Havlov and Dohnal (2018),Density,Liquid,AADYJk,O,water,AAoDPb,CCCC[N+]1(C)CCCC1.N#C[N-]C#N,1-butyl-1-methylpyrrolidinium dicyanamide,,,
qLQSp,318.15,0.06094,100,0.114,Havlov and Dohnal (2018),Density,Liquid,AADYJk,O,water,AAoDPb,CCCC[N+]1(C)CCCC1.N#C[N-]C#N,1-butyl-1-methylpyrrolidinium dicyanamide,,,
qLQSp,318.15,0.0703,100,0.126,Havlov and Dohnal (2018),Density,Liquid,AADYJk,O,water,AAoDPb,CCCC[N+]1(C)CCCC1.N#C[N-]C#N,1-butyl-1-methylpyrrolidinium dicyanamide,,,
qLQSp,318.15,0.08125,100,0.141,Havlov and Dohnal (2018),Density,Liquid,AADYJk,O,water,AAoDPb,CCCC[N+]1(C)CCCC1.N#C[N-]C#N,1-butyl-1-methylpyrrolidinium dicyanamide,,,
qLQSp,318.15,0.09073,100,0.152,Havlov and Dohnal (2018),Density,Liquid,AADYJk,O,water,AAoDPb,CCCC[N+]1(C)CCCC1.N#C[N-]C#N,1-butyl-1-methylpyrrolidinium dicyanamide,,,
qLQSp,318.15,0.1016,100,0.165,Havlov and Dohnal (2018),Density,Liquid,AADYJk,O,water,AAoDPb,CCCC[N+]1(C)CCCC1.N#C[N-]C#N,1-butyl-1-methylpyrrolidinium dicyanamide,,,
qLQSp,318.15,0.1219,100,0.186,Havlov and Dohnal (2018),Density,Liquid,AADYJk,O,water,AAoDPb,CCCC[N+]1(C)CCCC1.N#C[N-]C#N,1-butyl-1-methylpyrrolidinium dicyanamide,,,
